id,datetime,context,question,answer
g_9819,2021-10-28 21:20:44,非常に使い易いんで、気に入って使わせて貰ってましたが、宣伝お知らせ,この文章はGooglePlayストアのレビューです。simejiアプリの欠陥やsimejiアプリに対する要望が書かれているのはどこですか？,
g_13632,2021-11-25 09:26:37,かんたん,この文章はGooglePlayストアのレビューです。楽天ペイアプリの欠陥や楽天ペイアプリに対する要望が書かれているのはどこですか？,
g_3951,2021-11-06 17:51:25,一番やりたい,この文章はGooglePlayストアのレビューです。CokeONアプリの欠陥やCokeONアプリに対する要望が書かれているのはどこですか？,
g_417,2021-10-28 19:19:02,ただ、youtubeよりも広告が少ないのがせめてもの救い,この文章はGooglePlayストアのレビューです。BuzzVideoアプリの欠陥やBuzzVideoアプリに対する要望が書かれているのはどこですか？,
g_12737,2021-12-03 18:17:53,特典もあり最高ポイ活にもナイス,この文章はGooglePlayストアのレビューです。ファミマのアプリアプリの欠陥やファミマのアプリアプリに対する要望が書かれているのはどこですか？,
g_8342,2021-12-09 13:01:37,減らして欲しいです,この文章はGooglePlayストアのレビューです。Paypayアプリの欠陥やPaypayアプリに対する要望が書かれているのはどこですか？,減らして欲しい
g_2570,2021-10-28 09:11:18,接続されないおかげで何個スタンプもらい損ねたかわかりません,この文章はGooglePlayストアのレビューです。CokeONアプリの欠陥やCokeONアプリに対する要望が書かれているのはどこですか？,接続されない
g_9969,2021-11-18 14:07:26,アプリ止めたくなる,この文章はGooglePlayストアのレビューです。スマートニュースアプリの欠陥やスマートニュースアプリに対する要望が書かれているのはどこですか？,
g_4109,2021-10-23 15:52:30,信用はあまり出来ないアプリですね,この文章はGooglePlayストアのレビューです。google_fitアプリの欠陥やgoogle_fitアプリに対する要望が書かれているのはどこですか？,
g_10404,2021-10-31 22:42:20,見たいジャンルが少ない,この文章はGooglePlayストアのレビューです。スマートニュースアプリの欠陥やスマートニュースアプリに対する要望が書かれているのはどこですか？,ジャンルが少ない
g_7750,2021-11-22 13:42:09,便利に利用させて頂いています,この文章はGooglePlayストアのレビューです。Paypayアプリの欠陥やPaypayアプリに対する要望が書かれているのはどこですか？,
g_10407,2021-10-27 16:05:39,こなさ,この文章はGooglePlayストアのレビューです。スマートニュースアプリの欠陥やスマートニュースアプリに対する要望が書かれているのはどこですか？,
g_3801,2021-11-30 14:26:02,サブスクの月20本の方利用しました,この文章はGooglePlayストアのレビューです。CokeONアプリの欠陥やCokeONアプリに対する要望が書かれているのはどこですか？,
g_7878,2021-12-11 06:20:12,なんて便利なんでしょう,この文章はGooglePlayストアのレビューです。Paypayアプリの欠陥やPaypayアプリに対する要望が書かれているのはどこですか？,
g_9266,2021-11-14 16:03:54,後最近予測変換機能がまじでちゃんと働いてくれないので治してください,この文章はGooglePlayストアのレビューです。simejiアプリの欠陥やsimejiアプリに対する要望が書かれているのはどこですか？,予測変換機能がまじでちゃんと働いてくれない
g_5004,2021-11-04 16:16:46,上限なくして欲しい,この文章はGooglePlayストアのレビューです。LINE_MUSICアプリの欠陥やLINE_MUSICアプリに対する要望が書かれているのはどこですか？,上限なくして欲しい
g_8253,2021-11-20 08:54:04,無断撮影の客は修正自由で店舗は事実無根な書き込みされ泣き寝入りの食べログは勝手に店舗の無許可でサイトよりはまともと思っていたけど,この文章はGooglePlayストアのレビューです。Paypayアプリの欠陥やPaypayアプリに対する要望が書かれているのはどこですか？,
g_12626,2021-12-02 09:21:27,更新後、鳴き声を拾わなくなったのか全く使えなくなった,この文章はGooglePlayストアのレビューです。にゃんトークアプリの欠陥やにゃんトークアプリに対する要望が書かれているのはどこですか？,鳴き声を拾わなくなった
g_2786,2021-12-04 09:44:11,これからも色々なイベントをお願いします,この文章はGooglePlayストアのレビューです。CokeONアプリの欠陥やCokeONアプリに対する要望が書かれているのはどこですか？,これからも色々なイベントをお願いします
g_7809,2021-10-21 16:31:43,ポイントはありがたい,この文章はGooglePlayストアのレビューです。Paypayアプリの欠陥やPaypayアプリに対する要望が書かれているのはどこですか？,
g_4592,2021-12-14 18:09:21,なんで合わない,この文章はGooglePlayストアのレビューです。google_fitアプリの欠陥やgoogle_fitアプリに対する要望が書かれているのはどこですか？,なんで合わない
g_5299,2021-12-03 09:57:46,ローカルファイルの曲もプレイリストに追加できるようにして欲しい,この文章はGooglePlayストアのレビューです。LINE_MUSICアプリの欠陥やLINE_MUSICアプリに対する要望が書かれているのはどこですか？,ローカルファイルの曲もプレイリストに追加できるようにして欲しい
g_2131,2021-11-03 17:36:18,ほんま嬉しいわ,この文章はGooglePlayストアのレビューです。CokeONアプリの欠陥やCokeONアプリに対する要望が書かれているのはどこですか？,
g_6686,2021-11-29 23:57:12,何にも出来ません,この文章はGooglePlayストアのレビューです。majicaアプリの欠陥やmajicaアプリに対する要望が書かれているのはどこですか？,何にも出来ません
g_11848,2021-12-10 08:29:18,通勤、休み時間等で毎日検索しています,この文章はGooglePlayストアのレビューです。スマートニュースアプリの欠陥やスマートニュースアプリに対する要望が書かれているのはどこですか？,
g_7897,2021-11-18 23:13:57,時々、すごくお買い得に利用できるのでありがたいです,この文章はGooglePlayストアのレビューです。Paypayアプリの欠陥やPaypayアプリに対する要望が書かれているのはどこですか？,
g_862,2021-11-03 19:59:29,自分が入れている音楽を使用することが出来ない,この文章はGooglePlayストアのレビューです。capcutアプリの欠陥やcapcutアプリに対する要望が書かれているのはどこですか？,自分が入れている音楽を使用することが出来ない
g_13488,2021-11-12 18:57:17,edyアプリ自体では問題なくチャージ出来てるので本アプリ側の問題かと,この文章はGooglePlayストアのレビューです。楽天ペイアプリの欠陥や楽天ペイアプリに対する要望が書かれているのはどこですか？,本アプリ側の問題
g_4731,2021-12-13 07:36:38,とりあえず睡眠時間の記録もして欲しい,この文章はGooglePlayストアのレビューです。google_fitアプリの欠陥やgoogle_fitアプリに対する要望が書かれているのはどこですか？,睡眠時間の記録もして欲しい
g_1810,2021-12-02 21:56:14,とても安全でいいアプリです,この文章はGooglePlayストアのレビューです。CokeONアプリの欠陥やCokeONアプリに対する要望が書かれているのはどこですか？,
g_5830,2021-11-27 15:33:45,閉じてもアプリ停止が何度も続き困ってしまいました,この文章はGooglePlayストアのレビューです。majicaアプリの欠陥やmajicaアプリに対する要望が書かれているのはどこですか？,アプリ停止
g_11116,2021-12-14 15:31:01,毎日の生活の必需品,この文章はGooglePlayストアのレビューです。スマートニュースアプリの欠陥やスマートニュースアプリに対する要望が書かれているのはどこですか？,
g_905,2021-11-05 23:33:24,スマホ1つでパソコン並の高度な編集ができたり、全然重くもないので正直言って最高です,この文章はGooglePlayストアのレビューです。capcutアプリの欠陥やcapcutアプリに対する要望が書かれているのはどこですか？,
g_11323,2021-11-12 19:36:49,イラストを使って項目判断しやすく同じものが続か無いように,この文章はGooglePlayストアのレビューです。スマートニュースアプリの欠陥やスマートニュースアプリに対する要望が書かれているのはどこですか？,同じものが続か無いように
g_10538,2021-11-27 09:17:19,ニュースに加え抽選無料クーポンとても良きです,この文章はGooglePlayストアのレビューです。スマートニュースアプリの欠陥やスマートニュースアプリに対する要望が書かれているのはどこですか？,
g_4987,2021-11-11 13:47:44,コイン購入出来なくするのなら購入なしで聴けるようにしてくれないと困りますし、評価が下がる一方です,この文章はGooglePlayストアのレビューです。LINE_MUSICアプリの欠陥やLINE_MUSICアプリに対する要望が書かれているのはどこですか？,コイン購入出来なくするのなら購入なしで聴けるようにして
g_146,2021-11-13 17:57:17,感動と生きる意欲が沸きました,この文章はGooglePlayストアのレビューです。BuzzVideoアプリの欠陥やBuzzVideoアプリに対する要望が書かれているのはどこですか？,
g_13986,2021-11-15 21:19:30,運営は対処しないのか,この文章はGooglePlayストアのレビューです。楽天ペイアプリの欠陥や楽天ペイアプリに対する要望が書かれているのはどこですか？,運営は対処しない
g_6220,2021-11-17 09:02:20,っていうか、同じ会社で他に会員登録してると使えないって、どうなんでしょうか,この文章はGooglePlayストアのレビューです。majicaアプリの欠陥やmajicaアプリに対する要望が書かれているのはどこですか？,同じ会社で他に会員登録してると使えない
g_12948,2021-12-08 13:50:28,もらい損ねたらもったいないです,この文章はGooglePlayストアのレビューです。ファミマのアプリアプリの欠陥やファミマのアプリアプリに対する要望が書かれているのはどこですか？,
g_702,2021-11-04 09:22:01,インストール出来ません汗,この文章はGooglePlayストアのレビューです。capcutアプリの欠陥やcapcutアプリに対する要望が書かれているのはどこですか？,インストール出来ません
g_123,2021-12-10 19:47:31,ばずみん32って人の動画だけど虚偽ニュースという事で報告したのに対応しないってありえるの,この文章はGooglePlayストアのレビューです。BuzzVideoアプリの欠陥やBuzzVideoアプリに対する要望が書かれているのはどこですか？,報告したのに対応しない
g_5661,2021-11-10 02:03:22,2021/11/10使いやすかったのに、勝手に再生されたり、lineミュージックで曲再生中に別のメディアの再生を始めても曲が止まってくれなくなったりと不便になりました,この文章はGooglePlayストアのレビューです。LINE_MUSICアプリの欠陥やLINE_MUSICアプリに対する要望が書かれているのはどこですか？,勝手に再生されたり、lineミュージックで曲再生中に別のメディアの再生を始めても曲が止まってくれなくなった
g_3351,2021-12-08 16:29:47,すばらしい,この文章はGooglePlayストアのレビューです。CokeONアプリの欠陥やCokeONアプリに対する要望が書かれているのはどこですか？,
g_6033,2021-11-29 23:57:12,28から立ち上がりません,この文章はGooglePlayストアのレビューです。majicaアプリの欠陥やmajicaアプリに対する要望が書かれているのはどこですか？,立ち上がりません
g_5109,2021-11-23 20:37:23,端末のせいかはわかりませんが,この文章はGooglePlayストアのレビューです。LINE_MUSICアプリの欠陥やLINE_MUSICアプリに対する要望が書かれているのはどこですか？,
g_8989,2021-11-17 06:57:03,でイベントないと還元率低いのに店から異常な程手数料引いてるって,この文章はGooglePlayストアのレビューです。Paypayアプリの欠陥やPaypayアプリに対する要望が書かれているのはどこですか？,異常な程手数料引いてる
g_8903,2021-11-24 10:56:20,利用出来る店舗が増えてきて使いやすいです,この文章はGooglePlayストアのレビューです。Paypayアプリの欠陥やPaypayアプリに対する要望が書かれているのはどこですか？,
g_11603,2021-12-12 09:44:31,ニュースが早い,この文章はGooglePlayストアのレビューです。スマートニュースアプリの欠陥やスマートニュースアプリに対する要望が書かれているのはどこですか？,
g_11433,2021-10-31 17:10:49,アプリと、有のに、私は、分からないので、中々押せませんでした,この文章はGooglePlayストアのレビューです。スマートニュースアプリの欠陥やスマートニュースアプリに対する要望が書かれているのはどこですか？,
g_5050,2021-11-01 01:09:47,googleplayに残高を課金しても音楽を購入する事が出来ません,この文章はGooglePlayストアのレビューです。LINE_MUSICアプリの欠陥やLINE_MUSICアプリに対する要望が書かれているのはどこですか？,残高を課金しても音楽を購入する事が出来ません
g_3253,2021-11-30 20:50:26,めっちゃ節約になります,この文章はGooglePlayストアのレビューです。CokeONアプリの欠陥やCokeONアプリに対する要望が書かれているのはどこですか？,
g_237,2021-12-05 14:11:28,ガッツリしました,この文章はGooglePlayストアのレビューです。BuzzVideoアプリの欠陥やBuzzVideoアプリに対する要望が書かれているのはどこですか？,
g_1802,2021-12-12 09:26:04,全くカウントされなくなりました,この文章はGooglePlayストアのレビューです。CokeONアプリの欠陥やCokeONアプリに対する要望が書かれているのはどこですか？,全くカウントされなくなりました
g_2262,2021-12-12 11:01:04,全く使えない,この文章はGooglePlayストアのレビューです。CokeONアプリの欠陥やCokeONアプリに対する要望が書かれているのはどこですか？,全く使えない
g_147,2021-11-08 20:40:51,ドラマ,この文章はGooglePlayストアのレビューです。BuzzVideoアプリの欠陥やBuzzVideoアプリに対する要望が書かれているのはどこですか？,
g_4984,2021-12-06 13:54:51,このアプリだめです,この文章はGooglePlayストアのレビューです。LINE_MUSICアプリの欠陥やLINE_MUSICアプリに対する要望が書かれているのはどこですか？,このアプリだめです
g_2039,2021-10-21 01:00:11,歩いてスタンプ貯まるのはうれしい,この文章はGooglePlayストアのレビューです。CokeONアプリの欠陥やCokeONアプリに対する要望が書かれているのはどこですか？,
g_3067,2021-11-03 17:38:32,素晴らしい,この文章はGooglePlayストアのレビューです。CokeONアプリの欠陥やCokeONアプリに対する要望が書かれているのはどこですか？,
g_74,2021-12-07 14:07:34,とてもとてもおもしろく楽しいです,この文章はGooglePlayストアのレビューです。BuzzVideoアプリの欠陥やBuzzVideoアプリに対する要望が書かれているのはどこですか？,
