id,app_name,datetime,context,prediction
g_2,capcut,2023-12-15 11:15:20,テンプレクリエーターでテンプレリクエストされて作ろうと思ったらインターネット接続されてるのに接続されてませんとかなってフォント変えれないです,インターネット接続されてるのに接続されてませんとかなってフォント変えれない
g_3,capcut,2023-10-18 22:32:11,編集中とてもラグくてまともに編集が出来ません,編集中とてもラグくてまともに編集が出来ません
g_4,capcut,2023-12-09 00:28:43,更新をした後に、動画の編集をしようと動画を再生するとめちゃくちゃ速く動画が進むというバグ的なのが起こってるので直して欲しいです,更新をした後に、動画の編集をしようと動画を再生するとめちゃくちゃ速く動画が進む
g_5,capcut,2023-10-07 11:31:22,今までパソコンではpowerデレクターという本格的なものを使っており、比べると無理でも字幕がつけられたり、自動保存だったりありがたいですが、何をしたのか分からず戻したい時、スマホのデータをパソコンへ移行する手間を考えたら、capcutはスマホレベルでちょうどいいです,
g_6,capcut,2023-11-27 18:51:20,仕事で使わせてもらっているので、改善してほしいです,仕事で使わせてもらっているので、改善してほしい
g_9,capcut,2023-10-07 11:31:22,追記やたらとweb版を勧めてくるのでやってみましたが、パソコンの問題もあるでしょうか、固まって固まって今まで30分で編集していたものが10日経ってもupできてません,upできてません
g_11,capcut,2023-11-04 16:48:49,ストレージを確保しても、保存し直しても、電源を入れ直しても、作り直しても同じ,ストレージを確保しても、保存し直しても、電源を入れ直しても、作り直しても同じ
g_16,capcut,2023-10-13 16:49:46,pcとスマホ間で連携ができるようになり使い勝手が良すぎます,使い勝手が良すぎます
g_17,capcut,2023-10-26 12:47:49,その機能は有難いんですが、オンオフできるようになればもっといいなと思います,オンオフできるようになればもっといい
g_18,capcut,2023-12-20 22:22:50,とても重い,とても重い
g_21,capcut,2023-11-08 18:48:50,テンプレートも何故か全然使用できないのですが,テンプレートも何故か全然使用できない
g_25,capcut,2023-10-30 13:41:07,インストールをいちいちしてもならない,インストールをいちいちしてもならない
g_27,capcut,2023-10-22 11:51:17,長い動画をダウンロードするときにダウンロードができなかったり、capcutがwebになって少しやりにくいです,長い動画をダウンロードするときにダウンロードができなかったり
g_28,capcut,2023-12-04 18:36:50,あとはテンプレートが昔の方が中を見れて、勉強にしていたので見れなくなって悲しいです,見れなくなって
g_31,capcut,2023-11-01 18:24:22,バグもあるけど、簡単で使いやすく出来るからいい,バグもある
g_32,capcut,2023-11-05 03:09:41,動画を編集しようとして、画像の追加、入れ替えをすると作業画面が落ちてテンプレートやチュートリアル、マイページなどが並んでいる画面に強制的に戻されます,画像の追加、入れ替えをすると作業画面が落ちてテンプレートやチュートリアル、マイページなどが並んでいる画面に強制的に戻されます
g_33,capcut,2023-11-12 17:41:25,あと最近バグが酷いです,バグが酷い
g_34,capcut,2023-11-28 15:08:53,もうちょっとぬるぬる動いてよ,もうちょっとぬるぬる動いてよ
g_39,capcut,2023-12-16 00:16:08,早く更新してください,早く更新してください
g_41,capcut,2023-11-27 18:51:20,編集中は問題なくても、後日再編集しようとして開くと、音声に雑音が入っていたり、画面がチカチカしたり、動画の1部の彩度が落ちていたり、いろいろな不具合が発生します,音声に雑音が入っていたり、画面がチカチカしたり、動画の1部の彩度が落ちていたり、いろいろな不具合
g_42,capcut,2023-10-30 09:18:11,アプデ入ったの分からないけど、拡大も出来ないし、フォントとか、スタイルとかもいちいち変えないといけなくて、使いずらいし、編集が上手く出来ない,拡大も出来ないし、フォントとか、スタイルとかもいちいち変えないといけなくて、使いずらいし、編集が上手く出来ない
g_43,capcut,2023-10-13 22:55:57,テキスト読み上げ機能がどこを探しても見つからないです,テキスト読み上げ機能がどこを探しても見つからない
g_44,capcut,2023-10-16 09:00:08,ただ、何故か保存とかが出来ないのがちょっと残念でした,保存とかが出来ない
g_48,capcut,2023-10-20 23:43:04,治す方法を教えて欲しいです,治す方法を教えて欲しい
g_51,capcut,2023-11-13 15:55:24,編集をしようとするとアプリが強制終了します,編集をしようとするとアプリが強制終了します
g_56,capcut,2023-11-19 22:13:36,更にはテキスト入力で入力してる右側に何故か削除できない文字があって操作が面倒,テキスト入力で入力してる右側に何故か削除できない文字があって操作が面倒
g_58,capcut,2023-11-25 12:23:25,動画編集はできて使いやすいのに保存ができなくて動画もあげられなくてマジで最悪です,動画編集はできて使いやすいのに保存ができなくて動画もあげられなくて
g_60,capcut,2023-12-10 15:48:16,ios版と比べて使いにくい,ios版と比べて使いにくい
g_61,capcut,2023-11-30 18:11:02,全然進まない,全然進まない
g_62,capcut,2023-10-22 19:35:50,テンプレがあるのはありがたいけど、自分一人で編集が分かりにくい,自分一人で編集が分かりにくい
g_64,capcut,2023-11-01 15:30:31,バグって保存出来ない時が何十回もある,バグって保存出来ない
g_65,capcut,2023-10-14 17:35:29,のは冗談ですがバグが多くて困ります,バグが多くて
g_66,capcut,2023-11-12 17:41:25,改善お願いします,改善お願いします
g_68,capcut,2023-12-08 13:48:53,以前はちゃんと止まっていたのに、手を離した瞬間、作業位置がずれてしまい作業がしづらい,作業位置がずれてしまい作業がしづらい
g_70,capcut,2023-11-19 22:13:36,前より操作性が酷くなった,操作性が酷くなった
g_71,capcut,2023-12-07 22:56:07,が多く含まれていて非常に残念,が多く含まれていて
g_72,capcut,2023-10-31 21:30:34,ゆっくりボイスピッチ低めを入れたら、全く音がならない,ゆっくりボイスピッチ低めを入れたら、全く音がならない
g_73,capcut,2023-12-04 18:36:50,強制的にテンプレート画面に行ったりする,強制的にテンプレート画面に行ったりする
g_75,capcut,2023-11-25 14:01:26,早く何とかしてください,早く何とかしてください
g_78,capcut,2023-12-20 20:48:01,もうちょっと軽くして欲しいです、フォントはめちゃくちゃありすぎて困るぐらいありますwアニメーションいっぱいあります,
g_80,capcut,2023-12-05 20:48:04,アプリ開いたらめちゃくちゃ重いし、最近は広告多くなったし、エフェクトの読み込みがやたらと遅いし、エクスポートも途中で止まります,アプリ開いたらめちゃくちゃ重いし、最近は広告多くなったし、エフェクトの読み込みがやたらと遅いし、エクスポートも途中で止まります
