id,app_name,datetime,context,prediction
g_4804,lemon8,2021-11-11 18:31:20,インストールしたけど何も出てこない,インストールしたけど何も出てこない
g_4808,lemon8,2021-12-15 17:57:13,広告で出た人物をタップですぐトリミングする機能ってどこにあるんでしょうか,広告で出た人物をタップですぐトリミングする機能ってどこにあるんでしょうか
g_4814,lemon8,2021-10-22 10:58:05,退会の仕方も、ヘルプにあった説明ではパスワード入力とあったのに、実際は認証コード入力で、全然認証コード送ってくれないから何度も問い合わせしてしまいました,退会の仕方も、ヘルプにあった説明ではパスワード入力とあったのに、実際は認証コード入力で、全然認証コード送ってくれない
g_4817,lemon8,2021-10-22 23:04:03,と思ってダウンロードしたら、そのパレットが全然見当たらず,ダウンロードしたら、そのパレットが全然見当たらず
g_4819,lemon8,2021-11-19 20:35:56,個人情報だけ抜かれました,個人情報だけ抜かれました
g_4820,lemon8,2021-12-15 12:21:30,インスタに掲載されてた商品の値段を確認したくてアプリをインストールしたのに、その商品が何処にも載ってなかったのでアンインストールしました,インスタに掲載されてた商品の値段を確認したくてアプリをインストールしたのに、その商品が何処にも載ってなかった
g_4823,lemon8,2021-12-12 22:59:16,周りの背景を綺麗に切り取れるって書いてあったからインストールしたのに全然そんなこと出来ない,周りの背景を綺麗に切り取れるって書いてあったからインストールしたのに全然そんなこと出来ない
g_4826,lemon8,2021-11-17 02:35:13,中の設備は全然いいのですがyoutubeとか他のゲームをやってるとlemon8にめっちゃ飛ばされます,youtubeとか他のゲームをやってるとlemon8にめっちゃ飛ばされます
g_4831,lemon8,2021-10-22 10:58:05,インスタの広告に出てたリュック特集を見たくてインストールしたら、全然検索しても出てこない,全然検索しても出てこない
g_4833,lemon8,2021-10-24 14:47:29,コロナで色々な事が制限されてる中,コロナで色々な事が制限されてる
g_4836,lemon8,2021-12-03 03:45:04,皆様のレビューを見て、そうそう最初はゲームの広告の手芸を見てインストールした事を思い出しました笑開けてみたらそんなものは探さないと見つけられない笑私は毎日の記録をどこかに残したかったので逆に知り合いの誰とも繋がらないこのアプリを気に入り活用してます,
g_4851,lemon8,2021-11-23 16:55:09,通信環境が悪いので通信環境でも良くなるように改善してほしい,通信環境が悪いので通信環境でも良くなるように改善してほしい
g_4859,lemon8,2021-11-23 16:55:09,androidの不具合を治してほしい,androidの不具合を治してほしい
g_4860,lemon8,2021-12-03 03:45:04,たまにバグるので星は4つで,バグる
g_4862,lemon8,2021-11-19 20:36:59,招待キャンペーンは入力できないし、コンテンツは低能向け,招待キャンペーンは入力できない
g_4867,lemon8,2021-11-10 13:56:04,全体的に読み込みが遅いです,読み込みが遅い
g_4868,lemon8,2021-11-06 18:32:42,今のところバグが見つからず、uiがスッキリしているのはいいけど、通信量がやや大きいので、通信量を節約する機能がほしいです,通信量を節約する機能がほしい
g_4871,lemon8,2021-12-07 18:44:25,使いづらいのでアンインストールしました,使いづらい
g_4873,lemon8,2021-12-05 10:10:58,せっかくインストールしたのに新規登録で、google、lineともに何故かログイン失敗します,google、lineともに何故かログイン失敗します
g_4877,lemon8,2021-11-17 02:35:13,なんにも教えないのに飛ばされるのはどうかと思います,なんにも教えないのに飛ばされる
g_4879,lemon8,2021-12-07 18:44:25,画像切り抜きなど使おうとすると落ちる,画像切り抜きなど使おうとすると落ちる
g_4885,lemon8,2021-11-01 17:18:19,みたいなものを投稿するだけのtwitterの劣化版,
g_4886,lemon8,2021-11-23 16:55:09,かなり強制終了が多く画面もすぐ固まります,強制終了が多く画面もすぐ固まります
g_4898,lemon8,2021-12-03 03:45:04,バグってカキコ一切できなくなりました,バグってカキコ一切できなくなりました
g_4904,lemon8,2021-11-17 02:35:13,すぐに習性してほしいです,すぐに習性してほしい
g_4919,lemon8,2021-10-27 10:05:13,広告の品が探せない,広告の品が探せない
g_4921,lemon8,2021-10-22 09:00:13,広告のものを期待してインストールしたら、そんなものは無かった,広告のものを期待してインストールしたら、そんなものは無かった
