id,datetime,context,question,answer
g_12776,2021-12-09 12:01:34,分かりやすく使いやすいポイントが沢山貯まるのて楽しいです,この文章はGooglePlayストアのレビューです。ファミマのアプリアプリの欠陥やファミマのアプリアプリに対する要望が書かれているのはどこですか？,
t_4535070,2021-10-24T05:21:04.000Z,お家でも,この文はTwitterのツイートです。スマートニュースアプリの欠陥やスマートニュースアプリに対する要望が書かれているのはどこですか？,
t_489955,2021-11-11T15:04:03.000Z,この曲楽しいんだなぁ♪,この文はTwitterのツイートです。LINE_MUSICアプリの欠陥やLINE_MUSICアプリに対する要望が書かれているのはどこですか？,
g_12002,2021-11-22 05:26:23,いろんなニュース見れるけど、朝日とか毎日とか共同とかが多い気がするね,この文章はGooglePlayストアのレビューです。スマートニュースアプリの欠陥やスマートニュースアプリに対する要望が書かれているのはどこですか？,
g_3005,2021-12-01 11:42:50,歩いたのに記録されてないことが多いのは不満,この文章はGooglePlayストアのレビューです。CokeONアプリの欠陥やCokeONアプリに対する要望が書かれているのはどこですか？,歩いたのに記録されてない
t_533525,2021-11-28T21:32:11.000Z,※リアルタイム11/296:00,この文はTwitterのツイートです。LINE_MUSICアプリの欠陥やLINE_MUSICアプリに対する要望が書かれているのはどこですか？,
g_5437,2021-11-29 18:11:17,androidユーザーです,この文章はGooglePlayストアのレビューです。LINE_MUSICアプリの欠陥やLINE_MUSICアプリに対する要望が書かれているのはどこですか？,
g_7905,2021-12-03 20:35:46,paypayのアプリ解約してねーのになして解約してるため一定時間、電話番号が使えませんっては,この文章はGooglePlayストアのレビューです。Paypayアプリの欠陥やPaypayアプリに対する要望が書かれているのはどこですか？,paypayのアプリ解約してねーのになして解約してる
t_2228329,2021-11-12T05:44:08.000Z,呪術廻戦ぱしゃこれ買取・交換,この文はTwitterのツイートです。paypayアプリの欠陥やpaypayアプリに対する要望が書かれているのはどこですか？,
g_2300,2021-10-24 17:06:49,関係者以外立ち入り禁止の自販機も検索にいれるとか論外,この文章はGooglePlayストアのレビューです。CokeONアプリの欠陥やCokeONアプリに対する要望が書かれているのはどこですか？,関係者以外立ち入り禁止の自販機も検索にいれる
t_2086949,2021-11-15T09:06:15.000Z,paypayに送金でいいひと、お願いします,この文はTwitterのツイートです。paypayアプリの欠陥やpaypayアプリに対する要望が書かれているのはどこですか？,
g_13705,2021-11-02 16:39:43,dc0002と出る,この文章はGooglePlayストアのレビューです。楽天ペイアプリの欠陥や楽天ペイアプリに対する要望が書かれているのはどこですか？,dc0002と出る
t_663088,2021-10-24T02:59:16.000Z,プレデターが丁寧に教えます,この文はTwitterのツイートです。paypayアプリの欠陥やpaypayアプリに対する要望が書かれているのはどこですか？,
t_2133801,2021-11-12T08:30:35.000Z,ご自由に,この文はTwitterのツイートです。paypayアプリの欠陥やpaypayアプリに対する要望が書かれているのはどこですか？,
g_3996,2021-10-21 13:39:22,酷すぎ,この文章はGooglePlayストアのレビューです。google_fitアプリの欠陥やgoogle_fitアプリに対する要望が書かれているのはどこですか？,
t_4073318,2021-11-22T14:33:18.000Z,simejiは入れてないぞ,この文はTwitterのツイートです。simejiアプリの欠陥やsimejiアプリに対する要望が書かれているのはどこですか？,
