id,datetime,context,question,answer
t_2223388,2021-11-18T15:38:18.000Z,本アカウントのフォローやリツイートお願いします,この文はTwitterのツイートです。paypayアプリの欠陥やpaypayアプリに対する要望が書かれているのはどこですか？,
g_3248,2021-11-13 00:20:39,イベントみたいなのが頻繁にあってたのしい,この文章はGooglePlayストアのレビューです。CokeONアプリの欠陥やCokeONアプリに対する要望が書かれているのはどこですか？,
t_3567814,2021-12-04T09:21:02.000Z,|確定1000×p一般500×ppaypay,この文はTwitterのツイートです。paypayアプリの欠陥やpaypayアプリに対する要望が書かれているのはどこですか？,
g_9094,2021-11-14 16:03:54,キーボードは使いやすい使いやすいんだが,この文章はGooglePlayストアのレビューです。simejiアプリの欠陥やsimejiアプリに対する要望が書かれているのはどこですか？,
g_8210,2021-10-21 09:06:09,銀行口座の連携ができませんでした,この文章はGooglePlayストアのレビューです。Paypayアプリの欠陥やPaypayアプリに対する要望が書かれているのはどこですか？,銀行口座の連携ができません
t_2975893,2021-11-27T22:18:27.000Z,paypay希望で参加します,この文はTwitterのツイートです。paypayアプリの欠陥やpaypayアプリに対する要望が書かれているのはどこですか？,
t_1338485,2021-11-02T20:58:04.000Z,が簡単にgetできる,この文はTwitterのツイートです。paypayアプリの欠陥やpaypayアプリに対する要望が書かれているのはどこですか？,
g_13269,2021-11-14 14:28:25,このアプリでしかこの現象はおきない,この文章はGooglePlayストアのレビューです。楽天ペイアプリの欠陥や楽天ペイアプリに対する要望が書かれているのはどこですか？,
g_5864,2021-11-29 23:49:18,店で使えずに仕方なく現金で払いました,この文章はGooglePlayストアのレビューです。majicaアプリの欠陥やmajicaアプリに対する要望が書かれているのはどこですか？,店で使えず
g_11688,2021-10-29 12:42:52,う✘,この文章はGooglePlayストアのレビューです。スマートニュースアプリの欠陥やスマートニュースアプリに対する要望が書かれているのはどこですか？,
t_1566749,2021-11-05T04:20:49.000Z,すごい,この文はTwitterのツイートです。paypayアプリの欠陥やpaypayアプリに対する要望が書かれているのはどこですか？,
g_11229,2021-11-28 15:11:32,いつも可愛い子猫をみています,この文章はGooglePlayストアのレビューです。スマートニュースアプリの欠陥やスマートニュースアプリに対する要望が書かれているのはどこですか？,
g_6041,2021-11-30 09:27:08,11/25前後からアプリを開いても強制終了、会員バーコードもクーポンも何も出せない状態、これでは買い物ができないと、こちらのレビューを見に来て沢山の方が同じ状態であることがわかった,この文章はGooglePlayストアのレビューです。majicaアプリの欠陥やmajicaアプリに対する要望が書かれているのはどこですか？,アプリを開いても強制終了、会員バーコードもクーポンも何も出せない
g_7021,2021-11-28 11:54:58,サンキューメールが多すぎ,この文章はGooglePlayストアのレビューです。majicaアプリの欠陥やmajicaアプリに対する要望が書かれているのはどこですか？,サンキューメールが多すぎ
t_3314380,2021-12-15T10:14:56.000Z,結果シェアで毎日50名様に500円相当のpaypayボーナス当たる→結果は返信でをフォロー後にご参加下さい12/20迄,この文はTwitterのツイートです。paypayアプリの欠陥やpaypayアプリに対する要望が書かれているのはどこですか？,
g_11973,2021-11-25 11:43:28,なんでこんな設計にしたんだろう,この文章はGooglePlayストアのレビューです。スマートニュースアプリの欠陥やスマートニュースアプリに対する要望が書かれているのはどこですか？,
t_4418685,2021-10-23T07:00:45.000Z,スマートニュースで抽選中,この文はTwitterのツイートです。スマートニュースアプリの欠陥やスマートニュースアプリに対する要望が書かれているのはどこですか？,
g_6580,2021-10-28 06:45:32,ゴミ,この文章はGooglePlayストアのレビューです。majicaアプリの欠陥やmajicaアプリに対する要望が書かれているのはどこですか？,
t_2954734,2021-11-27T17:12:06.000Z,みんなのを教えてね,この文はTwitterのツイートです。paypayアプリの欠陥やpaypayアプリに対する要望が書かれているのはどこですか？,
t_2626600,2021-11-25T03:57:12.000Z,求元ツイ又は~定価+送料傷などがあるもののみ定価以下,この文はTwitterのツイートです。paypayアプリの欠陥やpaypayアプリに対する要望が書かれているのはどこですか？,
t_903964,2021-10-31T04:41:15.000Z,毎週ログインで当選確率アップ3週連続ログインイベントが開催中,この文はTwitterのツイートです。paypayアプリの欠陥やpaypayアプリに対する要望が書かれているのはどこですか？,
t_4170181,2021-11-19T11:46:27.000Z,️応募方法はをチェック,この文はTwitterのツイートです。simejiアプリの欠陥やsimejiアプリに対する要望が書かれているのはどこですか？,
t_1549661,2021-11-07T10:23:59.000Z,本日回目,この文はTwitterのツイートです。paypayアプリの欠陥やpaypayアプリに対する要望が書かれているのはどこですか？,
g_8213,2021-11-05 21:13:09,次から次へとキャンペーンが、あってたのしい,この文章はGooglePlayストアのレビューです。Paypayアプリの欠陥やPaypayアプリに対する要望が書かれているのはどこですか？,
g_11770,2021-12-01 06:38:34,グーグルニュースの方がいい,この文章はGooglePlayストアのレビューです。スマートニュースアプリの欠陥やスマートニュースアプリに対する要望が書かれているのはどこですか？,
t_2044570,2021-11-22T12:42:49.000Z,結果は返信をチェック,この文はTwitterのツイートです。paypayアプリの欠陥やpaypayアプリに対する要望が書かれているのはどこですか？,
t_2556041,2021-11-30T21:54:07.000Z,おはようございます,この文はTwitterのツイートです。paypayアプリの欠陥やpaypayアプリに対する要望が書かれているのはどこですか？,
t_2523709,2021-11-25T19:32:09.000Z,lineポイントをpaypayボーナスにできるの,この文はTwitterのツイートです。paypayアプリの欠陥やpaypayアプリに対する要望が書かれているのはどこですか？,
g_8008,2021-10-29 01:12:01,ひとつ不満を言うのであれば、ホーム画面の機能一覧を自分でカスタマイズできればいいなと思います,この文章はGooglePlayストアのレビューです。Paypayアプリの欠陥やPaypayアプリに対する要望が書かれているのはどこですか？,ホーム画面の機能一覧を自分でカスタマイズできればいい
g_562,2021-12-08 13:46:13,毎日欠かせないとても大切な必需品です,この文章はGooglePlayストアのレビューです。BuzzVideoアプリの欠陥やBuzzVideoアプリに対する要望が書かれているのはどこですか？,
g_95,2021-12-12 20:15:32,タイトルで釣るのやめて欲しい,この文章はGooglePlayストアのレビューです。BuzzVideoアプリの欠陥やBuzzVideoアプリに対する要望が書かれているのはどこですか？,タイトルで釣るのやめて欲しい
g_11774,2021-11-07 16:09:52,宣伝が多い,この文章はGooglePlayストアのレビューです。スマートニュースアプリの欠陥やスマートニュースアプリに対する要望が書かれているのはどこですか？,宣伝が多い
t_1105949,2021-10-24T23:29:34.000Z,コロナ対策に,この文はTwitterのツイートです。paypayアプリの欠陥やpaypayアプリに対する要望が書かれているのはどこですか？,
g_8420,2021-11-26 18:43:20,とにかく地図検索がクソ,この文章はGooglePlayストアのレビューです。Paypayアプリの欠陥やPaypayアプリに対する要望が書かれているのはどこですか？,地図検索がクソ
g_4597,2021-12-12 19:42:21,毎日往復を同じ道のりを歩いているが、往復でまったく違う歩数の時が多々ある,この文章はGooglePlayストアのレビューです。google_fitアプリの欠陥やgoogle_fitアプリに対する要望が書かれているのはどこですか？,往復でまったく違う歩数の時が多々ある
g_6896,2021-12-05 13:25:55,残数が残っている場合は他店の方が安い証拠だと思って間違い有りません,この文章はGooglePlayストアのレビューです。majicaアプリの欠陥やmajicaアプリに対する要望が書かれているのはどこですか？,
t_9024,2021-11-09T12:21:16.000Z,良く見て、理解して下さいね,この文はTwitterのツイートです。Buzzvideoアプリの欠陥やBuzzvideoアプリに対する要望が書かれているのはどこですか？,
g_13504,2021-10-30 17:14:50,初めてはどきどきする,この文章はGooglePlayストアのレビューです。楽天ペイアプリの欠陥や楽天ペイアプリに対する要望が書かれているのはどこですか？,
t_3142212,2021-12-03T03:40:33.000Z,で,この文はTwitterのツイートです。paypayアプリの欠陥やpaypayアプリに対する要望が書かれているのはどこですか？,
t_2511777,2021-11-25T15:14:07.000Z,をフォローしてからご参加下さい,この文はTwitterのツイートです。paypayアプリの欠陥やpaypayアプリに対する要望が書かれているのはどこですか？,
t_817785,2021-10-23T12:12:34.000Z,ゴールド900円,この文はTwitterのツイートです。paypayアプリの欠陥やpaypayアプリに対する要望が書かれているのはどこですか？,
t_3062639,2021-11-30T12:05:42.000Z,︎__1300円__,この文はTwitterのツイートです。paypayアプリの欠陥やpaypayアプリに対する要望が書かれているのはどこですか？,
g_8856,2021-12-06 14:40:00,単純で使いやすくかつ無難だし、オトクなクーポンや還元がある,この文章はGooglePlayストアのレビューです。Paypayアプリの欠陥やPaypayアプリに対する要望が書かれているのはどこですか？,
g_3744,2021-10-29 11:53:11,自販機とのbluetoothの通信がなかなかうまくいかない,この文章はGooglePlayストアのレビューです。CokeONアプリの欠陥やCokeONアプリに対する要望が書かれているのはどこですか？,自販機とのbluetoothの通信がなかなかうまくいかない
t_1756080,2021-11-04T20:10:34.000Z,先渡しも可能なのでお気軽にdmまでお越し下さい,この文はTwitterのツイートです。paypayアプリの欠陥やpaypayアプリに対する要望が書かれているのはどこですか？,
g_9602,2021-11-30 19:49:02,具体的には、キーボード全体の高さが80までしか設定できないと横幅の広い端末では大きくなりすぎてしまい、使いにくくなってしまった,この文章はGooglePlayストアのレビューです。simejiアプリの欠陥やsimejiアプリに対する要望が書かれているのはどこですか？,キーボード全体の高さが80までしか設定できないと横幅の広い端末では大きくなりすぎてしまい
g_12341,2021-11-01 21:56:23,wifiも4gも正常です,この文章はGooglePlayストアのレビューです。にゃんトークアプリの欠陥やにゃんトークアプリに対する要望が書かれているのはどこですか？,
g_5504,2021-11-17 18:26:47,急に曲が止まって何しても流れないから端末再起動させたらようやく流れた,この文章はGooglePlayストアのレビューです。LINE_MUSICアプリの欠陥やLINE_MUSICアプリに対する要望が書かれているのはどこですか？,急に曲が止まって何しても流れない
t_752623,2021-10-22T11:53:26.000Z,iniadidasトレカ交換ini交換日プ,この文はTwitterのツイートです。paypayアプリの欠陥やpaypayアプリに対する要望が書かれているのはどこですか？,
t_2460894,2021-11-11T08:03:58.000Z,1万円と5000円はpaypayか現金で,この文はTwitterのツイートです。paypayアプリの欠陥やpaypayアプリに対する要望が書かれているのはどこですか？,
